data_id,average_annual,numobs_annual,average_spring,numobs_spring,average_summer,numobs_summer,average_fall,numobs_fall,average_winter,numobs_winter
WLW1,184.35590150338905,15062,184.98895106953515,2801,184.06410611928285,3574,184.0175044819219,4367,184.529072055918,4317
WLW2,184.45878566156318,15062,185.0493107317126,2801,184.07666712861638,3574,184.05190273071673,4367,184.80367858249062,4317
WLW3,184.64337181946368,15067,185.0570438022946,2804,184.35816308968597,3576,184.38786175551405,4367,184.86952007429767,4317
WLW4,184.58227953893305,15063,184.9559072461349,2802,184.2820790203951,3574,184.39252038048156,4367,184.7803584259532,4317
WLW5,184.64889585885683,15071,184.97004240373968,2808,184.33750573902768,3576,184.52081076694415,4367,184.82757831790434,4317
WLW6,184.66647306829364,15070,184.99758752950444,2807,184.2870887785095,3576,184.4828860259384,4367,184.95119297503473,4317
WLW7,185.3305688890144,15075,185.85149857276457,2812,185.08491710143318,3576,185.08277276545982,4367,185.4453888597862,4317
WLW8,185.89968368426725,15075,186.33207677600996,2812,185.7376792275783,3576,185.7351569452938,4367,185.91864655922632,4317
WLW9,184.85832783392198,15075,185.34532084952562,2812,184.61386801975337,3576,184.61139314682598,4367,184.99340467469492,4317
WLW10,184.7268238587842,15074,185.04700501669515,2811,184.4061288581991,3576,184.53952585695697,4367,184.97349561154877,4317
WLW11,185.91895528447586,5281,,0,185.91969924587607,3574,185.91739540382477,1706,,0
WLS1,184.17988557807928,15061,184.30386169613644,2800,184.12434072771742,3574,184.1577000518919,4367,184.16787636378643,4317
WLS2,184.7661938015604,15066,185.01266156116625,2803,184.64176604083167,3576,184.63324017944674,4367,184.84373657932963,4317
WLS3,184.52816402373136,5193,,0,184.5387166472061,3576,184.50487708998511,1616,,0
WLS4,184.67989475562484,15071,184.91941217756803,2808,184.51416950532217,3576,184.53741372047904,4367,184.8055295509752,4317
WLS5,185.51575786573605,15075,185.6565900399982,2812,185.4385594167648,3576,185.44106974644518,4367,185.56325261418857,4317
WLS6,184.7123633883593,15073,184.81567690424518,2810,184.62592773401815,3576,184.66186735154727,4367,184.76783019259648,4317
WLS7,184.86321028495612,15073,184.99258479459894,2810,184.71919680986244,3576,184.82552155245017,4367,184.9364428728179,4317
WLS8,184.071731504222,11618,,0,184.02894074530565,3576,184.07643243456698,4367,184.1078126725957,3673
