depth_cm,WLW1,WLW2,WLW3,WLW4,WLW5,WLW6,WLW7,WLW8,WLW9,WLW10,WLW11
2.54,1,1,1,4,1,4,1,5,5,4,4
5.08,1,1,1,4,1,4,1,5,5,4,4
7.62,1,1,1,4,1,4,1,5,1,4,4
10.16,1,1,1,4,1,4,1,4,1,4,4
12.7,1,1,1,4,1,4,1,4,1,4,4
15.24,1,1,1,4,1,4,1,4,1,4,4
17.78,1,1,1,4,1,4,1,4,1,4,4
20.32,1,1,1,4,1,4,1,4,1,4,4
22.86,1,1,1,4,1,4,1,4,1,4,4
25.4,1,1,1,4,1,4,1,4,4,4,4
27.94,1,1,1,4,1,4,1,4,4,4,4
30.48,1,1,1,4,1,4,1,4,4,4,3
33.02,1,1,1,4,1,4,1,4,4,4,3
35.56,1,1,1,4,1,4,1,4,4,1,3
38.1,1,1,1,4,1,4,1,4,4,1,3
40.64,1,1,1,4,1,4,3,4,4,1,3
43.18,1,1,1,4,1,1,3,3,4,1,3
45.72,1,1,2,4,1,1,3,3,3,1,3
48.26,1,1,2,4,1,1,3,3,3,1,3
50.8,1,1,2,4,1,1,3,3,3,1,3
53.34,1,1,2,1,1,1,3,3,3,1,3
55.88,1,1,1,1,1,1,3,3,3,1,3
58.42,1,1,1,1,1,1,3,3,3,1,3
60.96,1,1,1,1,1,1,3,3,3,1,3
63.5,1,1,1,1,1,1,3,3,3,1,3
66.04,1,1,1,1,1,1,3,3,3,1,3
68.58,1,1,1,1,1,1,3,3,3,1,3
71.12,2,1,1,1,2,1,3,3,3,1,3
73.66,2,1,1,1,2,1,3,3,3,1,3
76.2,2,1,1,2,2,1,1,3,3,1,3
78.74,2,1,1,2,2,1,1,3,3,1,3
81.28,2,1,1,2,2,1,1,3,3,1,3
83.82,2,1,1,2,2,1,1,3,3,1,3
86.36,2,1,1,2,2,1,1,3,3,1,3
88.9,2,1,1,2,2,1,1,3,3,1,3
91.44,2,1,1,2,4,1,1,3,3,1,3
93.98,2,1,1,2,4,1,1,3,3,1,3
96.52,2,1,1,2,4,1,1,3,3,1,3
99.06,2,1,1,2,4,1,1,3,3,1,3
101.6,2,1,1,2,4,1,1,3,1,1,3
104.14,1,1,1,2,4,1,1,3,1,1,3
106.68,1,1,1,2,4,1,1,3,1,1,3
109.22,1,1,1,2,4,1,1,3,1,1,3
111.76,1,1,1,2,4,1,1,3,1,1,3
114.3,1,1,1,2,4,1,1,3,1,1,3
116.84,1,1,3,2,4,1,1,3,1,1,3
119.38,1,1,3,2,4,1,1,3,1,1,3
121.92,1,1,3,2,4,1,1,3,1,1,3
