well,section,cum_depth_cm,type
WLW1,1.0,2.72727272727,1
WLW1,2.0,16.3636363636,1
WLW1,3.0,30.0,1
WLW1,4.0,39.3103448276,1
WLW1,5.0,49.6551724138,4
WLW1,6.0,60.0,4
WLW1,8.0,75.0,4
WLW1,9.0,90.0,9
WLW1,10.0,100.0,9
WLW1,11.0,110.0,8
WLW1,12.0,120.0,8
WLW2,1.0,12.8571428571,1
WLW2,2.0,30.0,1
WLW2,4.0,40.0,1
WLW2,5.0,50.0,4
WLW2,6.0,60.0,4
WLW2,7.0,70.0,4
WLW2,8.0,80.0,4
WLW2,9.0,90.0,4
WLW2,10.0,100.0,4
WLW2,11.0,110.0,4
WLW2,12.0,120.0,8
WLW3,2.0,14.2105263158,1
WLW3,3.0,30.0,1
WLW3,5.0,45.0,1
WLW3,6.0,60.0,9
WLW3,8.0,75.0,10
WLW3,9.0,90.0,10
WLW3,10.0,100.0,10
WLW3,11.0,110.0,10
WLW3,12.0,120.0,10
WLW4,2.0,14.2105263158,2
WLW4,3.0,30.0,2
WLW4,5.0,41.25,2
WLW4,6.0,60.0,2
WLW4,8.0,75.7142857143,12
WLW4,9.0,90.0,3
WLW4,10.0,100.0,3
WLW4,11.0,110.0,3
WLW4,12.0,120.0,3
WLW5,1.0,5.0,1
WLW5,2.0,17.5,1
WLW5,3.0,30.0,1
WLW5,4.0,36.9230769231,1
WLW5,5.0,48.4615384615,4
WLW5,6.0,60.0,10
WLW5,7.0,66.0,10
WLW5,8.0,78.0,9
WLW5,9.0,90.0,9
WLW5,10.0,98.5714285714,2
WLW5,11.0,109.285714286,2
WLW5,12.0,120.0,2
WLW6,1.0,8.57142857143,2
WLW6,2.0,19.2857142857,2
WLW6,3.0,30.0,2
WLW6,4.0,37.7777777778,2
WLW6,5.0,48.8888888889,12
WLW6,6.0,60.0,12
WLW6,8.0,75.7142857143,12
WLW6,9.0,90.0,10
WLW6,10.0,97.7777777778,10
WLW6,11.0,108.888888889,4
WLW6,12.0,120.0,4
WLW7,1.0,7.77777777778,1
WLW7,2.0,18.8888888889,1
WLW7,3.0,30.0,1
WLW7,4.0,40.0,1
WLW7,5.0,50.0,7
WLW7,6.0,60.0,7
WLW7,8.0,75.7142857143,7
WLW7,9.0,90.0,4
WLW7,10.0,96.0,10
WLW7,11.0,108.0,10
WLW7,12.0,120.0,10
WLW8,1.0,5.0,6
WLW8,2.0,17.5,2
WLW8,3.0,30.0,2
WLW8,4.0,36.9230769231,2
WLW8,5.0,48.4615384615,13
WLW8,6.0,60.0,13
WLW8,7.0,70.0,13
WLW8,8.0,80.0,11
WLW8,9.0,90.0,11
WLW8,10.0,100.0,11
WLW8,11.0,110.0,11
WLW8,12.0,120.0,11
WLW9,1.0,6.0,6
WLW9,2.0,18.0,1
WLW9,3.0,30.0,1
WLW9,4.0,37.7777777778,2
WLW9,5.0,48.8888888889,2
WLW9,6.0,60.0,13
WLW9,7.0,68.5714285714,13
WLW9,8.0,79.2857142857,13
WLW9,9.0,90.0,13
WLW9,10.0,98.5714285714,13
WLW9,11.0,109.285714286,4
WLW9,12.0,120.0,4
WLW10,1.0,10.0,5
WLW10,2.0,20.0,5
WLW10,3.0,30.0,5
WLW10,4.0,36.9230769231,5
WLW10,5.0,48.4615384615,4
WLW10,6.0,60.0,4
WLW10,7.0,66.9230769231,4
WLW10,8.0,78.4615384615,4
WLW10,9.0,90.0,4
WLW10,10.0,95.0,10
WLW10,11.0,107.5,10
WLW10,12.0,120.0,10
WLW12,1.0,10.0,2
WLW12,2.0,20.0,2
WLW12,3.0,30.0,2
WLW12,4.0,37.8325123153,5
WLW12,5.0,51.1330049261,5
WLW12,6.0,60.0,5
WLW12,9.0,90.0,13
WLW12,10.0,100.0,13
WLW12,11.0,110.0,13
WLW12,12.0,120.0,13
WLW14,1.0,10.0,2
WLW14,2.0,20.0,2
WLW14,3.0,30.0,2
WLW14,5.0,45.0,2
WLW14,6.0,60.0,4
WLW14,7.0,70.0,4
WLW14,8.0,80.0,1
WLW14,9.0,90.0,9
WLW14,10.0,105.0,9
WLW14,11.0,120.0,9
SMP1,1.0,10.0,2
SMP1,2.0,20.0,2
SMP1,3.0,30.0,2
SMP1,4.0,40.0,11
SMP1,5.0,50.0,11
SMP1,6.0,60.0,11
SMP1,7.0,70.0,13
SMP1,8.0,80.0,13
SMP1,9.0,90.0,11
SMP1,10.0,100.0,11
SMP2,1.0,10.0,1
SMP2,2.0,20.0,1
SMP2,3.0,30.0,1
SMP2,4.0,40.0,1
SMP2,5.0,50.0,1
SMP2,6.0,60.0,4
SMP2,7.0,70.0,1
SMP2,8.0,80.0,9
SMP2,9.0,90.0,9
SMP2,10.0,100.0,9
W2,1.0,10.0,2
W2,2.0,20.0,1
W2,3.0,30.0,1
W2,4.0,40.0,10
W2,5.0,50.0,4
W2,6.0,60.0,4
W2,7.0,70.0,10
W2,8.0,80.0,4
W2,9.0,90.0,4
W2,10.0,100.0,4
