x_ft,elevation_ft
0,607.8598
9.817808386,607.717
19.63561677,607.6901
29.45342515,607.7089
39.27123353,607.7701
49.08904191,607.7371
58.90685029,607.5678
68.72465868,607.5354
78.54246706,607.7174
88.36027544,607.7646
98.17808382,607.7535
107.9958922,607.317
117.8137006,607.1426
127.631509,607.4228
137.4493173,607.7819
147.2671257,606.8159
157.0849341,606.4077
166.9027425,606.8637
176.7205509,607.0917
186.5383593,607.1011
196.3561676,607.0162
206.173976,606.9424
215.9917844,606.8758
225.8095928,606.7733
235.6274012,606.7573
245.4452095,606.8091
255.2630179,606.844
265.0808263,606.8934
274.8986347,607.0132
284.7164431,607.1158
294.6208801,606.9839
304.5253171,606.5972
314.4297541,606.1769
324.3341911,606.1327
334.2386281,606.0981
344.1430651,606.0114
354.0475021,605.9699
363.9519391,606.0215
373.8563761,606.1773
383.7608131,606.395
393.6652502,606.364
403.5696872,606.3691
413.4741242,606.4259
423.3785612,606.6441
433.2829982,606.7543
443.1874352,606.6668
453.0918722,606.5589
462.9963092,606.6649
472.9007462,606.888
482.8051832,606.7097
492.7096202,606.7308
502.6140572,606.6862
512.5184942,606.5743
522.4229313,606.416
532.3273683,606.338
542.2318053,606.1398
552.1362423,606.0664
562.0406793,606.0342
571.9451163,605.9071
581.8495533,605.5377
591.7539903,605.7856
601.6584273,605.9149
611.5628643,606.0367
621.3394183,606.0825
631.1159724,606.0189
640.8925264,606.1861
650.6690804,606.1773
660.4456344,606.2326
670.2221885,606.3114
679.9987425,606.5007
689.7752965,606.4999
699.5518506,606.6745
709.3284046,606.9165
719.1049586,606.8029
728.8815126,606.8296
738.6580667,606.7413
748.4346207,606.7898
758.2111747,607.0667
767.9877287,607.2038
777.7642828,606.8692
787.5408368,606.4436
797.3173908,606.5485
807.0939448,606.9243
816.8704989,606.9926
826.6470529,606.8801
836.4236069,606.6368
846.200161,606.2266
855.976715,606.5678
865.753269,607.3375
875.529823,607.7027
885.3063771,607.2759
895.0829311,607.1936
904.8594851,607.3239
914.6360391,607.4048
924.4125932,607.6434
934.1891472,607.6893
943.9217875,607.9499
953.6544279,607.9009
963.3870682,608.0069
973.1197086,608.1143
982.852349,608.235
992.5849893,608.1039
1002.31763,607.9865
1012.05027,607.9134
1021.78291,607.8192
1031.515551,607.8757
1041.248191,607.9697
1050.980831,608.0471
1060.713472,608.1446
1070.446112,608.3356
1080.178752,608.4454
1089.911393,608.4625
1099.644033,608.3842
1109.376674,607.8873
1119.105341,607.9276
1128.834008,609.2154
1138.562675,609.1561
1148.291342,609.0437
1158.020009,609.1309
1167.748676,609.2681
1177.477343,609.1523
1187.20601,609.1649
1196.934677,609.0353
1206.663344,608.793
1216.392011,608.8104
1226.120678,608.6669
1235.849345,608.6391
1245.578012,608.7914
1255.306679,608.6024
1265.035346,608.3659
1274.764013,608.2422
1284.49268,608.3849
1294.221347,608.3058
1303.950014,608.2991
1313.678681,608.2892
1323.630185,608.2976
1333.581689,608.4566
1343.533193,608.6646
1353.484697,608.6986
1363.436201,608.6432
1373.387705,608.6268
1383.339209,608.6852
1393.290713,608.7411
1403.242217,608.7567
1413.193721,608.7427
1423.145225,608.6574
1433.096729,608.6231
1443.048233,608.8215
1452.999737,608.53
1462.951241,608.6427
1472.902745,608.6512
1482.854249,608.8579
1492.805753,608.4109
1502.757256,608.7621
1512.70876,608.7202
1522.660264,608.7998
1532.611768,608.8387
1542.563272,608.8964
1552.514776,609.0652
1562.46628,609.0921
1572.417784,609.1328
1582.369288,608.9484
1592.320792,608.8968
1602.272296,608.8221
1612.2238,608.7111
1622.175304,608.7599
1632.126808,608.7669
1642.078312,608.6983
1652.029816,608.6592
1661.98132,608.6285
1671.932824,608.6586
1681.884328,608.6823
1691.835832,608.7178
1701.787336,608.6876
1711.73884,608.6531
1721.690344,608.8061
1731.641848,608.9678
1741.593351,609.0552
1751.544855,609.1059
1761.496359,608.986
1771.447863,609.1135
1781.399367,609.4089
1791.350871,609.5194
1801.302375,609.5321
1811.253879,609.5722
1821.205383,609.9567
1831.156887,610.2296
1841.108391,609.8958
1851.059895,609.7732
1861.011399,610.0175
1870.962903,609.8525
1880.914407,609.5173
1890.865911,609.555
1900.817415,609.4245
1910.768919,609.2596
1920.720423,609.1797
1930.671927,609.3582
1940.623431,609.3257
1950.574935,608.8171
1960.526439,608.7882
1970.477942,608.9711
1980.429446,608.7993
1990.38095,608.7033
2000.332454,608.8441
2010.283958,608.9083
2020.235462,608.6607
2030.186966,608.6543
2040.13847,608.7658
2050.089974,608.8095
2060.041478,608.8298
2069.992982,608.9058
2079.944486,609.0279
2089.89599,608.9971
2099.847494,608.9762
2109.798998,609.0677
2119.750502,609.0924
2129.702006,608.9483
2139.65351,608.8135
2149.605014,609.2327
2159.556518,609.0884
2169.508022,608.8946
2179.459526,608.781
2189.41103,609.5091
2199.362534,609.4376
2209.314037,608.8612
2219.265541,608.7376
2229.217045,608.2571
2239.168549,608.1076
2249.120053,607.9497
2259.071557,607.874
2269.023061,607.8939
